,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,output_type,gtex_tissue,histone_mark,transcription_factor
48,CLO:0026863 ATAC-seq,.,ATAC-seq,CLO:0026863,GM19455,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
49,CLO:0026874 ATAC-seq,.,ATAC-seq,CLO:0026874,GM19463,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
50,CLO:0026877 ATAC-seq,.,ATAC-seq,CLO:0026877,GM19467,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
51,CLO:0027429 ATAC-seq,.,ATAC-seq,CLO:0027429,GM19372,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
52,CLO:0027432 ATAC-seq,.,ATAC-seq,CLO:0027432,GM19351,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
53,CLO:0027443 ATAC-seq,.,ATAC-seq,CLO:0027443,GM19324,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
54,CLO:0027445 ATAC-seq,.,ATAC-seq,CLO:0027445,GM19328,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
55,EFO:0001086 ATAC-seq,.,ATAC-seq,EFO:0001086,A549,cell_line,adult,encode,single,False,OutputType.ATAC,,,
56,EFO:0001187 ATAC-seq,.,ATAC-seq,EFO:0001187,HepG2,cell_line,child,encode,paired,False,OutputType.ATAC,,,
57,EFO:0001196 ATAC-seq,.,ATAC-seq,EFO:0001196,IMR-90,cell_line,embryonic,encode,paired,False,OutputType.ATAC,,,
58,EFO:0001203 ATAC-seq,.,ATAC-seq,EFO:0001203,MCF-7,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
59,EFO:0001221 ATAC-seq,.,ATAC-seq,EFO:0001221,NCI-H929,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
60,EFO:0002067 ATAC-seq,.,ATAC-seq,EFO:0002067,K562,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
61,EFO:0002074 ATAC-seq,.,ATAC-seq,EFO:0002074,PC-3,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
62,EFO:0002713 ATAC-seq,.,ATAC-seq,EFO:0002713,Panc1,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
63,EFO:0002784 ATAC-seq,.,ATAC-seq,EFO:0002784,GM12878,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
64,EFO:0002824 ATAC-seq,.,ATAC-seq,EFO:0002824,HCT116,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
65,EFO:0005332 ATAC-seq,.,ATAC-seq,EFO:0005332,GM18505,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
66,EFO:0007074 ATAC-seq,.,ATAC-seq,EFO:0007074,DND-41,cell_line,child,encode,paired,False,OutputType.ATAC,,,
67,EFO:0007610 ATAC-seq,.,ATAC-seq,EFO:0007610,RWPE2,cell_line,unknown,encode,paired,False,OutputType.ATAC,,,
68,EFO:0007950 ATAC-seq,.,ATAC-seq,EFO:0007950,GM23338,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
69,EFO:0009747 ATAC-seq,.,ATAC-seq,EFO:0009747,WTC11,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
70,EFO:0010835 ATAC-seq,.,ATAC-seq,EFO:0010835,GM19023,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
71,EFO:0010836 ATAC-seq,.,ATAC-seq,EFO:0010836,GM19025,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
72,EFO:0010837 ATAC-seq,.,ATAC-seq,EFO:0010837,GM19043,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
73,EFO:0010838 ATAC-seq,.,ATAC-seq,EFO:0010838,GM21515,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
74,EFO:0010839 ATAC-seq,.,ATAC-seq,EFO:0010839,GM21737,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
75,EFO:0010840 ATAC-seq,.,ATAC-seq,EFO:0010840,GM21786,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
76,EFO:0010841 ATAC-seq,.,ATAC-seq,EFO:0010841,HG02571,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
77,EFO:0010842 ATAC-seq,.,ATAC-seq,EFO:0010842,HG02588,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
78,EFO:0010843 ATAC-seq,.,ATAC-seq,EFO:0010843,HG02610,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
79,EFO:0010844 ATAC-seq,.,ATAC-seq,EFO:0010844,HG02623,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
80,EFO:0010846 ATAC-seq,.,ATAC-seq,EFO:0010846,HG02678,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
81,EFO:0010847 ATAC-seq,.,ATAC-seq,EFO:0010847,HG02759,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
82,EFO:0010848 ATAC-seq,.,ATAC-seq,EFO:0010848,HG02763,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
83,EFO:0010850 ATAC-seq,.,ATAC-seq,EFO:0010850,HG02840,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
84,EFO:0010851 ATAC-seq,.,ATAC-seq,EFO:0010851,HG02852,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
85,EFO:0010852 ATAC-seq,.,ATAC-seq,EFO:0010852,HG02870,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
86,EFO:0010853 ATAC-seq,.,ATAC-seq,EFO:0010853,HG02884,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
87,EFO:0010855 ATAC-seq,.,ATAC-seq,EFO:0010855,HG02938,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
88,EFO:0010856 ATAC-seq,.,ATAC-seq,EFO:0010856,HG02943,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
89,EFO:0010857 ATAC-seq,.,ATAC-seq,EFO:0010857,HG02970,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
90,EFO:0010858 ATAC-seq,.,ATAC-seq,EFO:0010858,HG02973,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
91,EFO:0010859 ATAC-seq,.,ATAC-seq,EFO:0010859,HG02981,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
92,EFO:0010860 ATAC-seq,.,ATAC-seq,EFO:0010860,HG03025,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
93,EFO:0010861 ATAC-seq,.,ATAC-seq,EFO:0010861,HG03039,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
94,EFO:0010862 ATAC-seq,.,ATAC-seq,EFO:0010862,HG03045,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
95,EFO:0010863 ATAC-seq,.,ATAC-seq,EFO:0010863,HG03060,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
96,EFO:0010864 ATAC-seq,.,ATAC-seq,EFO:0010864,HG03064,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
97,EFO:0010865 ATAC-seq,.,ATAC-seq,EFO:0010865,HG03066,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
98,EFO:0010866 ATAC-seq,.,ATAC-seq,EFO:0010866,HG03095,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
99,EFO:0010867 ATAC-seq,.,ATAC-seq,EFO:0010867,HG03097,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
100,EFO:0010868 ATAC-seq,.,ATAC-seq,EFO:0010868,HG03103,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
101,EFO:0010869 ATAC-seq,.,ATAC-seq,EFO:0010869,HG03108,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
102,EFO:0010870 ATAC-seq,.,ATAC-seq,EFO:0010870,HG03135,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
103,EFO:0010871 ATAC-seq,.,ATAC-seq,EFO:0010871,HG03139,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
104,EFO:0010872 ATAC-seq,.,ATAC-seq,EFO:0010872,HG03159,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
105,EFO:0010873 ATAC-seq,.,ATAC-seq,EFO:0010873,HG03175,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
106,EFO:0010874 ATAC-seq,.,ATAC-seq,EFO:0010874,HG03196,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
107,EFO:0010875 ATAC-seq,.,ATAC-seq,EFO:0010875,HG03280,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
108,EFO:0010876 ATAC-seq,.,ATAC-seq,EFO:0010876,HG03342,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
109,EFO:0010878 ATAC-seq,.,ATAC-seq,EFO:0010878,HG03378,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
110,EFO:0010879 ATAC-seq,.,ATAC-seq,EFO:0010879,HG03432,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
111,EFO:0010880 ATAC-seq,.,ATAC-seq,EFO:0010880,HG03439,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
112,EFO:0010881 ATAC-seq,.,ATAC-seq,EFO:0010881,HG03442,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
113,EFO:0010882 ATAC-seq,.,ATAC-seq,EFO:0010882,HG03457,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
114,EFO:0010883 ATAC-seq,.,ATAC-seq,EFO:0010883,HG03460,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
115,EFO:0010884 ATAC-seq,.,ATAC-seq,EFO:0010884,HG03469,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
116,EFO:0010885 ATAC-seq,.,ATAC-seq,EFO:0010885,HG03520,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
117,EFO:0010886 ATAC-seq,.,ATAC-seq,EFO:0010886,HG03521,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
118,EFO:0010888 ATAC-seq,.,ATAC-seq,EFO:0010888,HG03565,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
119,EFO:0010889 ATAC-seq,.,ATAC-seq,EFO:0010889,HG03571,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
120,NTR:0000491 ATAC-seq,.,ATAC-seq,NTR:0000491,Right ventricle myocardium inferior,tissue,adult,encode,paired,False,OutputType.ATAC,,,
121,NTR:0000492 ATAC-seq,.,ATAC-seq,NTR:0000492,Right ventricle myocardium superior,tissue,adult,encode,paired,False,OutputType.ATAC,,,
122,NTR:0000494 ATAC-seq,.,ATAC-seq,NTR:0000494,left ventricle myocardium superior,tissue,adult,encode,paired,False,OutputType.ATAC,,,
123,UBERON:0000056 ATAC-seq,.,ATAC-seq,UBERON:0000056,ureter,tissue,adult,encode,paired,False,OutputType.ATAC,,,
124,UBERON:0000317 ATAC-seq,.,ATAC-seq,UBERON:0000317,colonic mucosa,tissue,adult,encode,paired,False,OutputType.ATAC,,,
125,UBERON:0000945 ATAC-seq,.,ATAC-seq,UBERON:0000945,stomach,tissue,adult,encode,paired,False,OutputType.ATAC,,,
126,UBERON:0000992 ATAC-seq,.,ATAC-seq,UBERON:0000992,ovary,tissue,adult,encode,paired,False,OutputType.ATAC,,,
127,UBERON:0000995 ATAC-seq,.,ATAC-seq,UBERON:0000995,uterus,tissue,adult,encode,paired,False,OutputType.ATAC,,,
128,UBERON:0001072 ATAC-seq,.,ATAC-seq,UBERON:0001072,posterior vena cava,tissue,adult,encode,paired,False,OutputType.ATAC,,,
129,UBERON:0001114 ATAC-seq,.,ATAC-seq,UBERON:0001114,right lobe of liver,tissue,adult,encode,paired,False,OutputType.ATAC,,,
130,UBERON:0001115 ATAC-seq,.,ATAC-seq,UBERON:0001115,left lobe of liver,tissue,adult,encode,paired,False,OutputType.ATAC,,,
131,UBERON:0001150 ATAC-seq,.,ATAC-seq,UBERON:0001150,body of pancreas,tissue,adult,encode,paired,False,OutputType.ATAC,,,
132,UBERON:0001157 ATAC-seq,.,ATAC-seq,UBERON:0001157,transverse colon,tissue,adult,encode,paired,False,OutputType.ATAC,,,
133,UBERON:0001159 ATAC-seq,.,ATAC-seq,UBERON:0001159,sigmoid colon,tissue,adult,encode,paired,False,OutputType.ATAC,,,
134,UBERON:0001259 ATAC-seq,.,ATAC-seq,UBERON:0001259,mucosa of urinary bladder,tissue,adult,encode,paired,False,OutputType.ATAC,,,
135,UBERON:0001264 ATAC-seq,.,ATAC-seq,UBERON:0001264,pancreas,tissue,adult,encode,paired,False,OutputType.ATAC,,,
136,UBERON:0001322 ATAC-seq,.,ATAC-seq,UBERON:0001322,sciatic nerve,tissue,adult,encode,paired,False,OutputType.ATAC,,,
137,UBERON:0002046 ATAC-seq,.,ATAC-seq,UBERON:0002046,thyroid gland,tissue,adult,encode,paired,False,OutputType.ATAC,,,
138,UBERON:0002048 ATAC-seq,.,ATAC-seq,UBERON:0002048,lung,tissue,adult,encode,paired,False,OutputType.ATAC,,,
139,UBERON:0002078 ATAC-seq,.,ATAC-seq,UBERON:0002078,right cardiac atrium,tissue,adult,encode,paired,False,OutputType.ATAC,,,
140,UBERON:0002079 ATAC-seq,.,ATAC-seq,UBERON:0002079,left cardiac atrium,tissue,adult,encode,paired,False,OutputType.ATAC,,,
141,UBERON:0002080 ATAC-seq,.,ATAC-seq,UBERON:0002080,heart right ventricle,tissue,adult,encode,paired,False,OutputType.ATAC,,,
142,UBERON:0002084 ATAC-seq,.,ATAC-seq,UBERON:0002084,heart left ventricle,tissue,adult,encode,paired,False,OutputType.ATAC,,,
143,UBERON:0002099 ATAC-seq,.,ATAC-seq,UBERON:0002099,cardiac septum,tissue,adult,encode,paired,False,OutputType.ATAC,,,
144,UBERON:0002106 ATAC-seq,.,ATAC-seq,UBERON:0002106,spleen,tissue,adult,encode,paired,False,OutputType.ATAC,,,
145,UBERON:0002107 ATAC-seq,.,ATAC-seq,UBERON:0002107,liver,tissue,adult,encode,paired,False,OutputType.ATAC,,,
146,UBERON:0002113 ATAC-seq,.,ATAC-seq,UBERON:0002113,kidney,tissue,adult,encode,paired,False,OutputType.ATAC,,,
147,UBERON:0002168 ATAC-seq,.,ATAC-seq,UBERON:0002168,left lung,tissue,child,encode,paired,False,OutputType.ATAC,,,
148,UBERON:0002170 ATAC-seq,.,ATAC-seq,UBERON:0002170,upper lobe of right lung,tissue,adult,encode,paired,False,OutputType.ATAC,,,
149,UBERON:0002171 ATAC-seq,.,ATAC-seq,UBERON:0002171,lower lobe of right lung,tissue,adult,encode,paired,False,OutputType.ATAC,,,
150,UBERON:0002190 ATAC-seq,.,ATAC-seq,UBERON:0002190,subcutaneous adipose tissue,tissue,adult,encode,paired,False,OutputType.ATAC,,,
151,UBERON:0002369 ATAC-seq,.,ATAC-seq,UBERON:0002369,adrenal gland,tissue,adult,encode,paired,False,OutputType.ATAC,,,
152,UBERON:0002394 ATAC-seq,.,ATAC-seq,UBERON:0002394,bile duct,tissue,adult,encode,paired,False,OutputType.ATAC,,,
153,UBERON:0002469 ATAC-seq,.,ATAC-seq,UBERON:0002469,esophagus mucosa,tissue,adult,encode,paired,False,OutputType.ATAC,,,
154,UBERON:0003889 ATAC-seq,.,ATAC-seq,UBERON:0003889,fallopian tube,tissue,adult,encode,paired,False,OutputType.ATAC,,,
155,UBERON:0004550 ATAC-seq,.,ATAC-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,encode,paired,False,OutputType.ATAC,,,
156,UBERON:0004992 ATAC-seq,.,ATAC-seq,UBERON:0004992,mucosa of descending colon,tissue,adult,encode,paired,False,OutputType.ATAC,,,
157,UBERON:0005033 ATAC-seq,.,ATAC-seq,UBERON:0005033,mucosa of gallbladder,tissue,child,encode,paired,False,OutputType.ATAC,,,
158,UBERON:0007610 ATAC-seq,.,ATAC-seq,UBERON:0007610,tibial artery,tissue,adult,encode,paired,False,OutputType.ATAC,,,
159,UBERON:0008367 ATAC-seq,.,ATAC-seq,UBERON:0008367,breast epithelium,tissue,adult,encode,paired,False,OutputType.ATAC,,,
160,UBERON:0008450 ATAC-seq,.,ATAC-seq,UBERON:0008450,psoas muscle,tissue,adult,encode,paired,False,OutputType.ATAC,,,
161,UBERON:0008952 ATAC-seq,.,ATAC-seq,UBERON:0008952,upper lobe of left lung,tissue,adult,encode,paired,False,OutputType.ATAC,,,
162,UBERON:0008953 ATAC-seq,.,ATAC-seq,UBERON:0008953,lower lobe of left lung,tissue,adult,encode,paired,False,OutputType.ATAC,,,
163,UBERON:0008971 ATAC-seq,.,ATAC-seq,UBERON:0008971,left colon,tissue,adult,encode,paired,False,OutputType.ATAC,,,
164,UBERON:0010414 ATAC-seq,.,ATAC-seq,UBERON:0010414,omental fat pad,tissue,adult,encode,paired,False,OutputType.ATAC,,,
165,UBERON:0011907 ATAC-seq,.,ATAC-seq,UBERON:0011907,gastrocnemius medialis,tissue,adult,encode,paired,False,OutputType.ATAC,,,
166,UBERON:0015143 ATAC-seq,.,ATAC-seq,UBERON:0015143,mesenteric fat pad,tissue,adult,encode,paired,False,OutputType.ATAC,,,
0,LQhCAGE CL:0000077,+,LQhCAGE,CL:0000077,mesothelial cell,primary_cell,,fantom,,,OutputType.CAGE,,,
1,LQhCAGE CL:0000136,+,LQhCAGE,CL:0000136,fat cell,primary_cell,,fantom,,,OutputType.CAGE,,,
2,LQhCAGE CL:0000767,+,LQhCAGE,CL:0000767,basophil,primary_cell,,fantom,,,OutputType.CAGE,,,
3,LQhCAGE CL:0000771,+,LQhCAGE,CL:0000771,eosinophil,primary_cell,,fantom,,,OutputType.CAGE,,,
4,LQhCAGE CL:0000775,+,LQhCAGE,CL:0000775,neutrophil,primary_cell,,fantom,,,OutputType.CAGE,,,
5,LQhCAGE CL:0000784,+,LQhCAGE,CL:0000784,plasmacytoid dendritic cell,primary_cell,,fantom,,,OutputType.CAGE,,,
6,LQhCAGE CL:0000840,+,LQhCAGE,CL:0000840,immature conventional dendritic cell,primary_cell,,fantom,,,OutputType.CAGE,,,
7,LQhCAGE CL:0000895,+,LQhCAGE,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,,fantom,,,OutputType.CAGE,,,
8,LQhCAGE CL:0002092,+,LQhCAGE,CL:0002092,bone marrow cell,primary_cell,,fantom,,,OutputType.CAGE,,,
9,LQhCAGE CL:0002166,+,LQhCAGE,CL:0002166,epithelial cell of Malassez,primary_cell,,fantom,,,OutputType.CAGE,,,
10,LQhCAGE CL:0002167,+,LQhCAGE,CL:0002167,olfactory epithelial cell,primary_cell,,fantom,,,OutputType.CAGE,,,
11,LQhCAGE CL:0002193,+,LQhCAGE,CL:0002193,myelocyte,primary_cell,,fantom,,,OutputType.CAGE,,,
12,LQhCAGE CL:0002397,+,LQhCAGE,CL:0002397,"CD14-positive, CD16-positive monocyte",primary_cell,,fantom,,,OutputType.CAGE,,,
13,LQhCAGE CL:0002677,+,LQhCAGE,CL:0002677,naive regulatory T cell,primary_cell,,fantom,,,OutputType.CAGE,,,
14,LQhCAGE UBERON:0012168,+,LQhCAGE,UBERON:0012168,umbilical cord blood,primary_cell,,fantom,,,OutputType.CAGE,,,
15,hCAGE CL:0000047,+,hCAGE,CL:0000047,neuronal stem cell,primary_cell,,fantom,,,OutputType.CAGE,,,
16,hCAGE CL:0000062,+,hCAGE,CL:0000062,osteoblast,primary_cell,,fantom,,,OutputType.CAGE,,,
17,hCAGE CL:0000077,+,hCAGE,CL:0000077,mesothelial cell,primary_cell,,fantom,,,OutputType.CAGE,,,
18,hCAGE CL:0000097,+,hCAGE,CL:0000097,mast cell,primary_cell,,fantom,,,OutputType.CAGE,,,
19,hCAGE CL:0000134,+,hCAGE,CL:0000134,mesenchymal cell,primary_cell,,fantom,,,OutputType.CAGE,,,
20,hCAGE CL:0000138,+,hCAGE,CL:0000138,chondrocyte,primary_cell,,fantom,,,OutputType.CAGE,,,
21,hCAGE CL:0000182,+,hCAGE,CL:0000182,hepatocyte,primary_cell,,fantom,,,OutputType.CAGE,,,
22,hCAGE CL:0000188,+,hCAGE,CL:0000188,cell of skeletal muscle,primary_cell,,fantom,,,OutputType.CAGE,,,
23,hCAGE CL:0000214,+,hCAGE,CL:0000214,synovial cell,primary_cell,,fantom,,,OutputType.CAGE,,,
24,hCAGE CL:0000216,+,hCAGE,CL:0000216,Sertoli cell,primary_cell,,fantom,,,OutputType.CAGE,,,
25,hCAGE CL:0000235,+,hCAGE,CL:0000235,macrophage,primary_cell,,fantom,,,OutputType.CAGE,,,
26,hCAGE CL:0000307,+,hCAGE,CL:0000307,tracheal epithelial cell,primary_cell,,fantom,,,OutputType.CAGE,,,
